Kepolisian Daerah,Jumlah Tindak Pidana 2021,Jumlah Tindak Pidana 2022,Penyelesaian tindak pidana 2021(%),Penyelesaian tindak pidana 2022(%)
ACEH,6651,10137,56.98,61.79
SUMATERA UTARA,36534,43555,68.37,15.93
SUMATERA BARAT,5666,7691,100.0,35.29
RIAU,7512,12389,77.34,17.17
JAMBI,3701,5359,79.19,18.64
SUMATERA SELATAN,13037,11453,74.0,51.84
BENGKULU,3493,3613,46.81,22.28
LAMPUNG,9764,11022,64.32,18.75
KEP. BANGKA BELITUNG,1566,2072,69.22,49.08
KEP. RIAU,2481,3358,65.7,11.38
METRO JAYA,29103,32534,97.99,5.82
JAWA BARAT,7502,29485,73.06,23.24
JAWA TENGAH,8909,30060,70.78,81.88
DI YOGYAKARTA,4774,10591,100.0,43.72
JAWA TIMUR,19257,51905,55.35,103.37
BANTEN,3434,5038,76.09,51.15
BALI,2404,6304,84.69,23.73
NUSA TENGGARA BARAT,6296,5296,59.66,34.46
NUSA TENGGARA TIMUR,4909,5991,33.06,4.77
KALIMANTAN BARAT,4048,3975,91.45,22.09
KALIMANTAN TENGAH,2399,3189,81.99,52.59
KALIMANTAN SELATAN,4973,5016,78.56,41.63
KALIMANTAN TIMUR,4564,4221,63.39,50.72
KALIMANTAN UTARA,971,1280,86.71,25.78
SULAWESI UTARA,6215,9618,58.04,22.99
SULAWESI TENGAH,5139,5453,53.4,15.64
SULAWESI SELATAN,14636,28679,64.26,6.81
SULAWESI TENGGARA,2431,3828,61.42,21.34
GORONTALO,2445,2488,54.6,10.69
SULAWESI BARAT,1500,2027,75.13,17.37
MALUKU,3139,2383,43.71,14.02
MALUKU UTARA,1008,1220,58.43,38.77
PAPUA BARAT,2784,4083,32.83,6.56
PAPUA,6236,7584,42.45,6.05
INDONESIA,239481,372897,71.85,38.12
