PRICE,HIGHWAY_MPG,CITY_MPG,PEAK_RPM,HORSEPOWER,COMPRESSION_RATIO,STROKE,BORE,FUEL_SYSTEM,ENGINE_SIZE,NUM_OF_CYLINDERS,ENGINE_TYPE,CURB_WEIGHT,HEIGHT,WIDTH,LENGTH,WHEEL_BASE,ENGINE_LOCATION,DRIVE_WHEELS,BODY_STYLE,NUM_OF_DOORS,ASPIRATION,FUEL_TYPE,MAKE,NORMALIZED_LOSSES,SYMBOLING,AVG_MPG,POWER_TO_WEIGHT
13495.0,27,21,5000.0,111.0,9.0,2.68,3.47,MPFI,130,4,DOHC,2548,48.8,64.1,168.8,88.6,FRONT,RWD,CONVERTIBLE,2.0,STD,GAS,ALFA-ROMERO,122.0,3,24.0,0.04356357927786499
16500.0,27,21,5000.0,111.0,9.0,2.68,3.47,MPFI,130,4,DOHC,2548,48.8,64.1,168.8,88.6,FRONT,RWD,CONVERTIBLE,2.0,STD,GAS,ALFA-ROMERO,122.0,3,24.0,0.04356357927786499
16500.0,26,19,5000.0,154.0,9.0,3.47,2.68,MPFI,152,6,OHCV,2823,52.4,65.5,171.2,94.5,FRONT,RWD,HATCHBACK,2.0,STD,GAS,ALFA-ROMERO,122.0,1,22.5,0.05455189514700673
13950.0,30,24,5500.0,102.0,10.0,3.4,3.19,MPFI,109,4,OHC,2337,54.3,66.2,176.6,99.8,FRONT,FWD,SEDAN,4.0,STD,GAS,AUDI,164.0,2,27.0,0.043645699614890884
17450.0,22,18,5500.0,115.0,8.0,3.4,3.19,MPFI,136,5,OHC,2824,54.3,66.4,176.6,99.4,FRONT,4WD,SEDAN,4.0,STD,GAS,AUDI,164.0,2,20.0,0.04072237960339943
15250.0,25,19,5500.0,110.0,8.5,3.4,3.19,MPFI,136,5,OHC,2507,53.1,66.3,177.3,99.8,FRONT,FWD,SEDAN,2.0,STD,GAS,AUDI,122.0,2,22.0,0.043877143996808934
17710.0,25,19,5500.0,110.0,8.5,3.4,3.19,MPFI,136,5,OHC,2844,55.7,71.4,192.7,105.8,FRONT,FWD,SEDAN,4.0,STD,GAS,AUDI,158.0,1,22.0,0.03867791842475387
18920.0,25,19,5500.0,110.0,8.5,3.4,3.19,MPFI,136,5,OHC,2954,55.7,71.4,192.7,105.8,FRONT,FWD,WAGON,4.0,STD,GAS,AUDI,122.0,1,22.0,0.037237643872714964
23875.0,20,17,5500.0,140.0,8.3,3.4,3.13,MPFI,131,5,OHC,3086,55.9,71.4,192.7,105.8,FRONT,FWD,SEDAN,4.0,TURBO,GAS,AUDI,158.0,1,18.5,0.04536616979909268
16430.0,29,23,5800.0,101.0,8.8,2.8,3.5,MPFI,108,4,OHC,2395,54.3,64.8,176.8,101.2,FRONT,RWD,SEDAN,2.0,STD,GAS,BMW,192.0,2,26.0,0.042171189979123176
16925.0,29,23,5800.0,101.0,8.8,2.8,3.5,MPFI,108,4,OHC,2395,54.3,64.8,176.8,101.2,FRONT,RWD,SEDAN,4.0,STD,GAS,BMW,192.0,0,26.0,0.042171189979123176
20970.0,28,21,4250.0,121.0,9.0,3.19,3.31,MPFI,164,6,OHC,2710,54.3,64.8,176.8,101.2,FRONT,RWD,SEDAN,2.0,STD,GAS,BMW,188.0,0,24.5,0.044649446494464944
21105.0,28,21,4250.0,121.0,9.0,3.19,3.31,MPFI,164,6,OHC,2765,54.3,64.8,176.8,101.2,FRONT,RWD,SEDAN,4.0,STD,GAS,BMW,188.0,0,24.5,0.04376130198915009
24565.0,25,20,4250.0,121.0,9.0,3.19,3.31,MPFI,164,6,OHC,3055,55.7,66.9,189.0,103.5,FRONT,RWD,SEDAN,4.0,STD,GAS,BMW,122.0,1,22.5,0.03960720130932897
30760.0,22,16,5400.0,182.0,8.0,3.39,3.62,MPFI,209,6,OHC,3230,55.7,66.9,189.0,103.5,FRONT,RWD,SEDAN,4.0,STD,GAS,BMW,122.0,0,19.0,0.056346749226006194
41315.0,22,16,5400.0,182.0,8.0,3.39,3.62,MPFI,209,6,OHC,3380,53.7,67.9,193.8,103.5,FRONT,RWD,SEDAN,2.0,STD,GAS,BMW,122.0,0,19.0,0.05384615384615385
36880.0,20,15,5400.0,182.0,8.0,3.39,3.62,MPFI,209,6,OHC,3505,56.3,70.9,197.0,110.0,FRONT,RWD,SEDAN,4.0,STD,GAS,BMW,122.0,0,17.5,0.051925820256776035
5151.0,53,47,5100.0,48.0,9.5,3.03,2.91,2BBL,61,3,L,1488,53.2,60.3,141.1,88.4,FRONT,FWD,HATCHBACK,2.0,STD,GAS,CHEVROLET,121.0,2,50.0,0.03225806451612903
6295.0,43,38,5400.0,70.0,9.6,3.11,3.03,2BBL,90,4,OHC,1874,52.0,63.6,155.9,94.5,FRONT,FWD,HATCHBACK,2.0,STD,GAS,CHEVROLET,98.0,1,40.5,0.03735325506937033
6575.0,43,38,5400.0,70.0,9.6,3.11,3.03,2BBL,90,4,OHC,1909,52.0,63.6,158.8,94.5,FRONT,FWD,SEDAN,4.0,STD,GAS,CHEVROLET,81.0,0,40.5,0.03666841278156103
5572.0,41,37,5500.0,68.0,9.41,3.23,2.97,2BBL,90,4,OHC,1876,50.8,63.8,157.3,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,DODGE,118.0,1,39.0,0.03624733475479744
6377.0,38,31,5500.0,68.0,9.4,3.23,2.97,2BBL,90,4,OHC,1876,50.8,63.8,157.3,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,DODGE,118.0,1,34.5,0.03624733475479744
7957.0,30,24,5500.0,102.0,7.6,3.39,3.03,MPFI,98,4,OHC,2128,50.8,63.8,157.3,93.7,FRONT,FWD,HATCHBACK,2.0,TURBO,GAS,DODGE,118.0,1,27.0,0.047932330827067667
6229.0,38,31,5500.0,68.0,9.4,3.23,2.97,2BBL,90,4,OHC,1967,50.6,63.8,157.3,93.7,FRONT,FWD,HATCHBACK,4.0,STD,GAS,DODGE,148.0,1,34.5,0.03457041179461108
6692.0,38,31,5500.0,68.0,9.4,3.23,2.97,2BBL,90,4,OHC,1989,50.6,63.8,157.3,93.7,FRONT,FWD,SEDAN,4.0,STD,GAS,DODGE,148.0,1,34.5,0.03418803418803419
7609.0,38,31,5500.0,68.0,9.4,3.23,2.97,2BBL,90,4,OHC,1989,50.6,63.8,157.3,93.7,FRONT,FWD,SEDAN,4.0,STD,GAS,DODGE,148.0,1,34.5,0.03418803418803419
8558.0,30,24,5500.0,102.0,7.6,3.39,3.03,MPFI,98,4,OHC,2191,50.6,63.8,157.3,93.7,FRONT,FWD,SEDAN,4.0,TURBO,GAS,DODGE,148.0,1,27.0,0.04655408489274304
8921.0,30,24,5000.0,88.0,8.5,3.46,3.34,2BBL,122,4,OHC,2535,59.8,64.6,174.6,103.3,FRONT,FWD,WAGON,4.0,STD,GAS,DODGE,110.0,-1,27.0,0.03471400394477318
12964.0,24,19,5000.0,145.0,7.0,3.9,3.6,MFI,156,4,OHC,2811,50.2,66.3,173.2,95.9,FRONT,FWD,HATCHBACK,2.0,TURBO,GAS,DODGE,145.0,3,21.5,0.05158306652436855
6479.0,54,49,4800.0,58.0,9.6,3.41,2.91,1BBL,92,4,OHC,1713,50.8,63.9,144.6,86.6,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,137.0,2,51.5,0.033858727378867484
6855.0,38,31,6000.0,76.0,9.2,3.41,2.91,1BBL,92,4,OHC,1819,50.8,63.9,144.6,86.6,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,137.0,2,34.5,0.04178119846069269
5399.0,42,38,5500.0,60.0,10.1,3.07,2.91,1BBL,79,4,OHC,1837,52.6,64.0,150.0,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,101.0,1,40.0,0.0326619488296135
6529.0,34,30,6000.0,76.0,9.2,3.41,2.91,1BBL,92,4,OHC,1940,52.6,64.0,150.0,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,101.0,1,32.0,0.03917525773195876
7129.0,34,30,6000.0,76.0,9.2,3.41,2.91,1BBL,92,4,OHC,1956,52.6,64.0,150.0,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,101.0,1,32.0,0.03885480572597137
7295.0,34,30,6000.0,76.0,9.2,3.41,2.91,1BBL,92,4,OHC,2010,54.5,64.0,163.4,96.5,FRONT,FWD,SEDAN,4.0,STD,GAS,HONDA,110.0,0,32.0,0.03781094527363184
7295.0,34,30,6000.0,76.0,9.2,3.41,2.92,1BBL,92,4,OHC,2024,58.3,63.9,157.1,96.5,FRONT,FWD,WAGON,4.0,STD,GAS,HONDA,78.0,0,32.0,0.037549407114624504
7895.0,33,27,5800.0,86.0,9.0,3.58,3.15,1BBL,110,4,OHC,2236,53.3,65.2,167.5,96.5,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,106.0,0,30.0,0.038461538461538464
9095.0,33,27,5800.0,86.0,9.0,3.58,3.15,1BBL,110,4,OHC,2289,53.3,65.2,167.5,96.5,FRONT,FWD,HATCHBACK,2.0,STD,GAS,HONDA,106.0,0,30.0,0.037570991699432066
8845.0,33,27,5800.0,86.0,9.0,3.58,3.15,1BBL,110,4,OHC,2304,54.1,65.2,175.4,96.5,FRONT,FWD,SEDAN,4.0,STD,GAS,HONDA,85.0,0,30.0,0.03732638888888889
10295.0,33,27,5800.0,86.0,9.0,3.58,3.15,1BBL,110,4,OHC,2372,54.1,62.5,175.4,96.5,FRONT,FWD,SEDAN,4.0,STD,GAS,HONDA,85.0,0,30.0,0.03625632377740304
12945.0,28,24,5800.0,101.0,9.0,3.58,3.15,MPFI,110,4,OHC,2465,54.1,65.2,175.4,96.5,FRONT,FWD,SEDAN,4.0,STD,GAS,HONDA,85.0,0,26.0,0.040973630831643
10345.0,31,25,5500.0,100.0,9.1,3.58,3.15,2BBL,110,4,OHC,2293,51.0,66.0,169.1,96.5,FRONT,FWD,SEDAN,2.0,STD,GAS,HONDA,107.0,1,28.0,0.043610989969472304
6785.0,29,24,4800.0,78.0,8.5,3.23,3.31,2BBL,111,4,OHC,2337,53.5,61.8,170.7,94.3,FRONT,RWD,SEDAN,4.0,STD,GAS,ISUZU,122.0,0,26.5,0.03337612323491656
11048.0,29,24,5000.0,90.0,9.2,3.23,3.43,SPFI,119,4,OHC,2734,51.4,65.2,172.6,96.0,FRONT,RWD,HATCHBACK,2.0,STD,GAS,ISUZU,122.0,2,26.5,0.03291880029261156
32250.0,19,15,4750.0,176.0,8.1,4.17,3.63,MPFI,258,6,DOHC,4066,52.8,69.6,199.6,113.0,FRONT,RWD,SEDAN,4.0,STD,GAS,JAGUAR,145.0,0,17.0,0.04328578455484506
35550.0,19,15,4750.0,176.0,8.1,4.17,3.63,MPFI,258,6,DOHC,4066,52.8,69.6,199.6,113.0,FRONT,RWD,SEDAN,4.0,STD,GAS,JAGUAR,122.0,0,17.0,0.04328578455484506
36000.0,17,13,5000.0,262.0,11.5,2.76,3.54,MPFI,326,12,OHCV,3950,47.8,70.6,191.7,102.0,FRONT,RWD,SEDAN,2.0,STD,GAS,JAGUAR,122.0,0,15.0,0.06632911392405064
5195.0,31,30,5000.0,68.0,9.0,3.15,3.03,2BBL,91,4,OHC,1890,54.1,64.2,159.1,93.1,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MAZDA,104.0,1,30.5,0.03597883597883598
6095.0,38,31,5000.0,68.0,9.0,3.15,3.03,2BBL,91,4,OHC,1900,54.1,64.2,159.1,93.1,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MAZDA,104.0,1,34.5,0.035789473684210524
6795.0,38,31,5000.0,68.0,9.0,3.15,3.03,2BBL,91,4,OHC,1905,54.1,64.2,159.1,93.1,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MAZDA,104.0,1,34.5,0.03569553805774278
6695.0,38,31,5000.0,68.0,9.0,3.15,3.03,2BBL,91,4,OHC,1945,54.1,64.2,166.8,93.1,FRONT,FWD,SEDAN,4.0,STD,GAS,MAZDA,113.0,1,34.5,0.03496143958868895
7395.0,38,31,5000.0,68.0,9.0,3.15,3.08,2BBL,91,4,OHC,1950,54.1,64.2,166.8,93.1,FRONT,FWD,SEDAN,4.0,STD,GAS,MAZDA,113.0,1,34.5,0.03487179487179487
10945.0,23,17,6000.0,101.0,9.4,3.256903553299492,3.330710659898477,4BBL,70,2,ROTOR,2380,49.6,65.7,169.0,95.3,FRONT,RWD,HATCHBACK,2.0,STD,GAS,MAZDA,150.0,3,20.0,0.04243697478991597
11845.0,23,17,6000.0,101.0,9.4,3.256903553299492,3.330710659898477,4BBL,70,2,ROTOR,2380,49.6,65.7,169.0,95.3,FRONT,RWD,HATCHBACK,2.0,STD,GAS,MAZDA,150.0,3,20.0,0.04243697478991597
13645.0,23,17,6000.0,101.0,9.4,3.256903553299492,3.330710659898477,4BBL,70,2,ROTOR,2385,49.6,65.7,169.0,95.3,FRONT,RWD,HATCHBACK,2.0,STD,GAS,MAZDA,150.0,3,20.0,0.042348008385744235
15645.0,23,16,6000.0,135.0,9.4,3.256903553299492,3.330710659898477,MPFI,80,2,ROTOR,2500,49.6,65.7,169.0,95.3,FRONT,RWD,HATCHBACK,2.0,STD,GAS,MAZDA,150.0,3,19.5,0.054
8845.0,32,26,4800.0,84.0,8.6,3.39,3.39,2BBL,122,4,OHC,2385,53.7,66.5,177.8,98.8,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MAZDA,129.0,1,29.0,0.03522012578616352
8495.0,32,26,4800.0,84.0,8.6,3.39,3.39,2BBL,122,4,OHC,2410,55.5,66.5,177.8,98.8,FRONT,FWD,SEDAN,4.0,STD,GAS,MAZDA,115.0,0,29.0,0.034854771784232366
10595.0,32,26,4800.0,84.0,8.6,3.39,3.39,2BBL,122,4,OHC,2385,53.7,66.5,177.8,98.8,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MAZDA,129.0,1,29.0,0.03522012578616352
10245.0,32,26,4800.0,84.0,8.6,3.39,3.39,2BBL,122,4,OHC,2410,55.5,66.5,177.8,98.8,FRONT,FWD,SEDAN,4.0,STD,GAS,MAZDA,115.0,0,29.0,0.034854771784232366
10795.0,42,36,4650.0,64.0,22.7,3.39,3.39,IDI,122,4,OHC,2443,55.5,66.5,177.8,98.8,FRONT,FWD,SEDAN,4.0,STD,DIESEL,MAZDA,122.0,0,39.0,0.026197298403602128
11245.0,32,26,4800.0,84.0,8.6,3.39,3.39,2BBL,122,4,OHC,2425,55.5,66.5,177.8,98.8,FRONT,FWD,HATCHBACK,4.0,STD,GAS,MAZDA,115.0,0,29.0,0.03463917525773196
18280.0,27,19,5000.0,120.0,8.0,3.16,3.76,MPFI,140,4,OHC,2670,54.4,66.1,175.0,104.9,FRONT,RWD,SEDAN,4.0,STD,GAS,MAZDA,118.0,0,23.0,0.0449438202247191
18344.0,39,31,4200.0,72.0,22.0,3.64,3.43,IDI,134,4,OHC,2700,54.4,66.1,175.0,104.9,FRONT,RWD,SEDAN,4.0,STD,DIESEL,MAZDA,122.0,0,35.0,0.02666666666666667
25552.0,25,22,4350.0,123.0,21.5,3.64,3.58,IDI,183,5,OHC,3515,56.5,70.3,190.9,110.0,FRONT,RWD,SEDAN,4.0,TURBO,DIESEL,MERCEDES-BENZ,93.0,-1,23.5,0.03499288762446657
28248.0,25,22,4350.0,123.0,21.5,3.64,3.58,IDI,183,5,OHC,3750,58.7,70.3,190.9,110.0,FRONT,RWD,WAGON,4.0,TURBO,DIESEL,MERCEDES-BENZ,93.0,-1,23.5,0.0328
28176.0,25,22,4350.0,123.0,21.5,3.64,3.58,IDI,183,5,OHC,3495,54.9,70.3,187.5,106.7,FRONT,RWD,HARDTOP,2.0,TURBO,DIESEL,MERCEDES-BENZ,93.0,0,23.5,0.0351931330472103
31600.0,25,22,4350.0,123.0,21.5,3.64,3.58,IDI,183,5,OHC,3770,56.3,71.7,202.6,115.6,FRONT,RWD,SEDAN,4.0,TURBO,DIESEL,MERCEDES-BENZ,93.0,-1,23.5,0.03262599469496021
34184.0,18,16,4750.0,155.0,8.3,3.1,3.46,MPFI,234,8,OHCV,3740,56.5,71.7,202.6,115.6,FRONT,RWD,SEDAN,4.0,STD,GAS,MERCEDES-BENZ,122.0,-1,17.0,0.04144385026737968
35056.0,18,16,4750.0,155.0,8.3,3.1,3.46,MPFI,234,8,OHCV,3685,50.8,70.5,180.3,96.6,FRONT,RWD,CONVERTIBLE,2.0,STD,GAS,MERCEDES-BENZ,142.0,3,17.0,0.04206241519674356
40960.0,16,14,4500.0,184.0,8.0,3.35,3.8,MPFI,308,8,OHCV,3900,56.7,71.7,208.1,120.9,FRONT,RWD,SEDAN,4.0,STD,GAS,MERCEDES-BENZ,122.0,0,15.0,0.04717948717948718
45400.0,16,14,4500.0,184.0,8.0,3.35,3.8,MPFI,304,8,OHCV,3715,55.4,72.0,199.2,112.0,FRONT,RWD,HARDTOP,2.0,STD,GAS,MERCEDES-BENZ,122.0,1,15.0,0.04952893674293405
16503.0,24,19,5000.0,175.0,8.0,3.12,3.78,MPFI,140,4,OHC,2910,54.8,68.0,178.4,102.7,FRONT,RWD,HATCHBACK,2.0,TURBO,GAS,MERCURY,122.0,1,21.5,0.06013745704467354
5389.0,41,37,5500.0,68.0,9.4,3.23,2.97,2BBL,92,4,OHC,1918,50.8,64.4,157.3,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MITSUBISHI,161.0,2,39.0,0.035453597497393116
6189.0,38,31,5500.0,68.0,9.4,3.23,2.97,2BBL,92,4,OHC,1944,50.8,64.4,157.3,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MITSUBISHI,161.0,2,34.5,0.03497942386831276
6669.0,38,31,5500.0,68.0,9.4,3.23,2.97,2BBL,92,4,OHC,2004,50.8,64.4,157.3,93.7,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MITSUBISHI,161.0,2,34.5,0.033932135728542916
7689.0,30,24,5500.0,102.0,7.6,3.39,3.03,SPDI,98,4,OHC,2145,50.8,63.8,157.3,93.0,FRONT,FWD,HATCHBACK,2.0,TURBO,GAS,MITSUBISHI,161.0,1,27.0,0.04755244755244755
9959.0,30,23,5500.0,116.0,7.5,3.46,3.17,SPDI,110,4,OHC,2370,49.4,65.4,173.0,96.3,FRONT,FWD,HATCHBACK,2.0,TURBO,GAS,MITSUBISHI,153.0,3,26.5,0.048945147679324896
8499.0,32,25,5000.0,88.0,8.5,3.46,3.35,2BBL,122,4,OHC,2328,49.4,65.4,173.0,96.3,FRONT,FWD,HATCHBACK,2.0,STD,GAS,MITSUBISHI,153.0,3,28.5,0.037800687285223365
12629.0,24,19,5000.0,145.0,7.0,3.86,3.58,SPDI,156,4,OHC,2833,50.2,66.3,173.2,95.9,FRONT,FWD,HATCHBACK,2.0,TURBO,GAS,MITSUBISHI,122.0,3,21.5,0.05118249205788916
